GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5028512,5153749,5238900,5257208,5578214,5581871,5825580,6326970,6455109,6686115,6888413,7176955,7698829,8246654,8100810,8318299
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",21991872,22528431,22633404,23028296,22833914,22695148,23623960,24823651,25159794,26260552,26958359,28360380,30672224,30846449,29501238,29941070
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",77527335,76416088,79476496,85529705,91085062,94093039,100251901,105569469,107853999,117535685,128870923,135912735,139537475,154074312,160928073,169549653
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",27705320,26674185,29099102,29375275,30298456,31155245,32718498,33952357,33900078,33305067,32649919,34126774,38548929,39083055,33792238,35193241
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",135392782,130664188,136424832,136521050,140662178,139186983,143765778,148695233,151212744,151893394,157574086,163820872,169751371,175087047,173331610,176596295
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5940073,6259117,5894239,6124224,5886131,5663898,6173120,6301592,6357643,6367450,6554981,6525312,7075083,7437517,7217624,7622373
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11751004,11755510,11704417,12580158,12665148,12730000,12622596,13055758,13434452,13700239,14775912,15241852,16935271,17778042,15903050,16831550
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",37269335,37640560,37638752,38298976,39087035,39009886,39821442,40589615,40680760,41836301,43482414,44502566,46803198,49123619,47620906,49586933
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5116689,5049351,5227585,5197242,5159788,5171849,5179884,5573156,5588095,5636250,5578152,5671820,6231362,6234115,5947456,6027405
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4163911,4176590,4328852,4360247,4308498,4257552,4303646,4550890,4550904,4650546,4630459,4655654,5230409,5247868,5015248,4948771
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",15958250,16162240,16547871,16499231,17189702,16401994,17443050,18285204,17697304,18366305,18487962,18517552,19604874,19019322,18228435,18755380
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4859114,5340187,5045968,5459126,5437821,5000379,5016164,5049984,5074139,5150458,5179294,5314662,5600965,5414116,5226820,5187028
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",8358717,7824150,8160984,8125130,8549321,8522215,8800310,9264242,9761327,9907078,10078500,10739205,11354097,11593904,11121763,11500147
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6570969,6176906,6269796,6604800,6931799,7301083,7583085,8258420,9049714,9523096,9992236,10516069,11730479,12959999,12537492,13278562
