GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "13000","Georgia",5,SARPP,1,"...","RPPs: All items ","Index",94.199,91.797,94.463,93.618,95.243,94.787,94.903,94.667,94.932,95.292,94.819,94.395,94.476,95.761,95.725,96.699
 "15000","Hawaii",8,SARPP,1,"...","RPPs: All items ","Index",109.744,112.581,109.395,109.869,108.370,112.299,110.592,111.515,109.881,110.447,110.831,111.781,113.249,112.513,111.094,108.609
 "16000","Idaho",7,SARPP,1,"...","RPPs: All items ","Index",94.973,94.857,93.204,94.129,93.491,93.679,93.701,94.308,92.998,94.544,91.703,92.445,91.019,91.625,91.791,91.425
 "17000","Illinois",3,SARPP,1,"...","RPPs: All items ","Index",100.238,101.521,101.745,101.998,100.982,100.238,99.686,98.932,99.535,100.280,100.323,99.466,100.341,101.329,101.240,98.855
 "18000","Indiana",3,SARPP,1,"...","RPPs: All items ","Index",91.965,92.573,93.073,92.437,92.784,92.926,92.696,91.483,91.423,90.884,92.737,92.827,91.766,92.567,91.884,92.184
 "19000","Iowa",4,SARPP,1,"...","RPPs: All items ","Index",87.395,89.776,91.218,89.907,90.843,90.940,91.070,89.632,89.560,89.257,91.841,91.814,90.606,89.759,88.356,88.767
 "20000","Kansas",4,SARPP,1,"...","RPPs: All items ","Index",89.865,91.814,92.993,92.786,93.313,92.630,93.188,92.873,92.132,91.563,92.508,92.764,92.264,91.247,89.676,89.965
 "21000","Kentucky",5,SARPP,1,"...","RPPs: All items ","Index",89.803,88.492,90.358,90.413,90.646,90.845,91.025,90.699,90.648,90.031,89.074,89.591,89.084,89.256,89.391,90.468
 "22000","Louisiana",5,SARPP,1,"...","RPPs: All items ","Index",91.436,90.144,92.131,92.690,92.878,92.889,93.373,92.810,93.580,92.392,90.769,91.156,91.152,91.389,90.465,88.345
 "23000","Maine",1,SARPP,1,"...","RPPs: All items ","Index",98.591,98.881,97.688,96.220,97.011,98.392,92.632,95.984,97.318,97.608,97.683,95.618,97.886,97.318,100.698,97.097
 "24000","Maryland",2,SARPP,1,"...","RPPs: All items ","Index",108.828,110.488,108.432,109.324,107.410,108.543,107.909,107.944,107.262,106.743,106.355,105.086,106.386,106.120,104.930,103.965
 "25000","Massachusetts",1,SARPP,1,"...","RPPs: All items ","Index",106.230,105.482,104.709,104.744,104.444,103.316,104.535,104.948,108.185,107.258,107.264,107.165,109.097,106.731,109.435,108.238
 "26000","Michigan",3,SARPP,1,"...","RPPs: All items ","Index",95.858,96.044,96.195,95.209,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.356,94.424,94.254,93.609,94.184
 "27000","Minnesota",4,SARPP,1,"...","RPPs: All items ","Index",96.757,98.648,97.591,97.266,97.391,97.487,98.338,97.713,97.273,96.765,99.577,98.751,97.749,98.328,97.465,98.417
 "28000","Mississippi",5,SARPP,1,"...","RPPs: All items ","Index",88.038,85.588,88.218,88.833,88.521,88.843,88.920,88.233,88.469,87.808,86.166,86.521,85.580,86.229,87.326,87.292
 "29000","Missouri",4,SARPP,1,"...","RPPs: All items ","Index",88.468,90.473,93.124,92.522,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.522,92.157,92.003,91.040,91.762
 "30000","Montana",7,SARPP,1,"...","RPPs: All items ","Index",94.113,93.218,92.458,94.251,93.207,92.881,95.172,95.010,93.866,94.244,92.371,94.250,91.973,91.400,90.164,90.244
 "31000","Nebraska",4,SARPP,1,"...","RPPs: All items ","Index",89.609,90.668,92.130,91.444,92.325,91.876,91.839,91.256,90.869,89.833,91.880,92.542,92.810,91.943,89.874,90.376
